ida	idb	crca	crcb	pdockq	label	dataset
P18901	Q9QUL6	CRC-0380042E8590F470	CRC-82978187FC3E0E03		0	negatome
P00973	Q9UIS9	CRC-03F0A3AA17DAD4E4	CRC-665732782CC6A32A		0	negatome
Q14565	Q9BXW9	CRC-040A6E4CF1FEBFA2	CRC-BF931980ADA67405		0	negatome
P63239	Q58A65	CRC-04239C7B6385382E	CRC-93A6E97A62E0E92C		0	negatome
P39429	Q9D8D0	CRC-043B391180365F10	CRC-28BC7C1A02FB87EF		0	negatome
P02788	Q9NNX6	CRC-0489CABA6D13C098	CRC-A23FA246014533C0		0	negatome
P49185	Q5U2N4	CRC-04E388B4F94633D4	CRC-7D26909FB98AC34D		0	negatome
P49185	Q4G050	CRC-04E388B4F94633D4	CRC-DE0DA795C64D0161		0	negatome
P42224	Q8TAE8	CRC-054A813522364BA6	CRC-304C397AEC958804		0	negatome
P42224	Q9Y6X2	CRC-054A813522364BA6	CRC-7C06EF599D48F87D		0	negatome
P47709	P61765	CRC-05838BC3C7A86444	CRC-2DD0715F875CE0F3		0	negatome
P47709	P63045	CRC-05838BC3C7A86444	CRC-4A0D0D56B5409D0A		0	negatome
P47709	Q62768	CRC-05838BC3C7A86444	CRC-BFE7D0467D258900		0	negatome
P25490	Q13330	CRC-058C05A0AD2D04E6	CRC-2D5330F0489AE62E		0	negatome
A1X4Q1	Q15599	CRC-05BE58D8A6FDC2A2	CRC-4F5D341590D22ED7		0	negatome
A1X4Q1	O14745	CRC-05BE58D8A6FDC2A2	CRC-E33AF87016D37A65		0	negatome
Q8TDR0	Q9Y4K3	CRC-0675AA0E5319D2EB	CRC-5AB9C255CCFEE749		0	negatome
Q8TDR0	Q9BUZ4	CRC-0675AA0E5319D2EB	CRC-A3F57E0E1081AB88		0	negatome
A2ASQ1	P14151	CRC-0679A3F6D8BD1286	CRC-6EA9918ECA2D3643		0	negatome
Q6FHM7	Q9UBD5	CRC-0695E23AC4D33561	CRC-E713569A11B39B1C		0	negatome
P49848	Q15545	CRC-06C6BFA563580823	CRC-0AAFD3E33E3CCD6E		0	negatome
P21707	P47709	CRC-06CE28F04C97A722	CRC-05838BC3C7A86444		0	negatome
A5JSJ9	Q5JTD0	CRC-07269000E6C214F0	CRC-07D41B72E1CB0E20		0	negatome
P62258	Q01814	CRC-07817CCBD1F75B26	CRC-7F10221B7B9AC3A2		0	negatome
P62259	Q61097	CRC-07817CCBD1F75B26	CRC-EAEEB23FAE715D94		0	negatome
P62258	Q92574	CRC-07817CCBD1F75B26	CRC-EF15509385C7AACC		0	negatome
Q5JTD0	Q9Y624	CRC-07D41B72E1CB0E20	CRC-D95DE2FEA23D2851		0	negatome
O88689	Q60841	CRC-082497DBBAEFB503	CRC-1CCE64C845160F2E		0	negatome
P92973	Q8W420	CRC-083C963EE6DD53A6	CRC-FDB9F994CBF0D017		0	negatome
O14543	O60674	CRC-08581DC411EFFF19	CRC-C30669EF1A7DA80C		0	negatome
P28069	Q04724	CRC-0866777E3E425873	CRC-695FD1A37410EFE5		0	negatome
P25963	Q9H9D4	CRC-088B313226786395	CRC-0D3CDA7572D17721		0	negatome
P25963	Q92785	CRC-088B313226786395	CRC-1044B4D3036075FC		0	negatome
P25963	Q8TAU0	CRC-088B313226786395	CRC-10A279CFA3C8A6DB		0	negatome
P25963	Q16828	CRC-088B313226786395	CRC-386612227F5D3B2A		0	negatome
P25963	Q6DQH2	CRC-088B313226786395	CRC-42E83543ECD91E6E		0	negatome
P25963	P41240	CRC-088B313226786395	CRC-431023A88C54E00C		0	negatome
P25963	Q68DY1	CRC-088B313226786395	CRC-4F631D271B872653		0	negatome
P25963	P62879	CRC-088B313226786395	CRC-5D08FFA240ADEEE6		0	negatome
P25963	Q9UHX1	CRC-088B313226786395	CRC-619F3C30D1C5951C		0	negatome
P25963	Q70SY1	CRC-088B313226786395	CRC-64699072EEB454D3		0	negatome
P25963	Q8TBX8	CRC-088B313226786395	CRC-65D1CBCF0826D476		0	negatome
P25963	Q93096	CRC-088B313226786395	CRC-702008013D3F3835		0	negatome
P25963	Q02535	CRC-088B313226786395	CRC-7FC38B56B4DCEFBC		0	negatome
P25963	Q92730	CRC-088B313226786395	CRC-9FD56ACB878FBCCA		0	negatome
P25963	Q9NQX6	CRC-088B313226786395	CRC-A9DB42D0870A7767		0	negatome
P25963	P31150	CRC-088B313226786395	CRC-BC283A445E50A652		0	negatome
P25963	Q9UHR5	CRC-088B313226786395	CRC-C48CEFBD73CE82BC		0	negatome
P25963	Q9UH92	CRC-088B313226786395	CRC-D1981730051473C5		0	negatome
P25963	Q9H6S3	CRC-088B313226786395	CRC-DAB07744B04CFEE2		0	negatome
P25963	Q14192	CRC-088B313226786395	CRC-E94E3A7F6601F9F3		0	negatome
P25963	P36915	CRC-088B313226786395	CRC-F8EBB4EDBB73D929		0	negatome
O43172	O75643	CRC-08975A26D0B21857	CRC-3F3811BDCCC9DDB7		0	negatome
O43172	Q15029	CRC-08975A26D0B21857	CRC-862BD6CA7993F118		0	negatome
C9WF17	Q26807	CRC-089A7E14F77333CC	CRC-6D57A22427F3EF91		0	negatome
P16086	Q01728	CRC-08DDF01A2871278A	CRC-EC456CFE3AFC6A69		0	negatome
P11802	Q9UBD5	CRC-0916A0C07403A33A	CRC-E713569A11B39B1C		0	negatome
Q1M168	Q8CFN2	CRC-091E21129D1ADD34	CRC-51A437E22A4D8FFF		0	negatome
P08588	P24588	CRC-0950F2684E4721B8	CRC-D2A86298EAF1BE32		0	negatome
Q07699	Q9NY72	CRC-09B812FA3F9E9018	CRC-70F6C604E9E26662		0	negatome
P37275	Q13547	CRC-0A2714CC37C848D1	CRC-4D35B7C1ED7838D6		0	negatome
P25822	P31007-7	CRC-0A343220BB1F0B27	CRC-544D1E1AD03B0674		0	negatome
P01023	P12259	CRC-0A46DF09EFD3CF40	CRC-24AEF3FEA7332E37		0	negatome
P49459	Q9NW38	CRC-0AAEB5B7770E47E2	CRC-E217DF9D64587E5E		0	negatome
P63059	Q63158	CRC-0B0411F51F614A01	CRC-394AA6D4DEA5A197		0	negatome
Q08024	Q62009	CRC-0B2E6101A35D0FD8	CRC-907FEB37942EADEC		0	negatome
O00244	Q8N668	CRC-0B364B1BD1279314	CRC-9C810AECA67011DC		0	negatome
P27699	Q8R4I4	CRC-0B387B7247113088	CRC-EEE36B01A6B85B63		0	negatome
O75496	P49736	CRC-0BABE60F6F5AC252	CRC-52C6DC61F128B404		0	negatome
P09866	Q4GWZ2	CRC-0CE81B6E7DEFDB5E	CRC-C7C8DAA6B7459785		0	negatome
Q13133	Q96RL1	CRC-0D27B237440F8C9C	CRC-56B7699E42395861		0	negatome
Q9H9D4	Q9UHX1	CRC-0D3CDA7572D17721	CRC-619F3C30D1C5951C		0	negatome
Q9H9D4	Q9UH92	CRC-0D3CDA7572D17721	CRC-D1981730051473C5		0	negatome
P23510	Q9YP87	CRC-0D5604AD29D529CF	CRC-FC720DA743F62A2A		0	negatome
Q15406	Q9Y618	CRC-0D8578E192581A8E	CRC-70A89C9A19612AAD		0	negatome
P05111	Q8N6C5	CRC-0E03D2AB12BF8E57	CRC-7D0D2C36FD1CE8B8		0	negatome
P05111	Q04771	CRC-0E03D2AB12BF8E57	CRC-E2B0F051D19DD052		0	negatome
Q7Z434	Q8IUD6	CRC-0E23E3E115941EE8	CRC-488F05406996311D		0	negatome
P17980	Q16143	CRC-0E443465DDDEBB0B	CRC-5BCA9FCA615AC4EF		0	negatome
Q13158	Q8WXF8	CRC-0E65E2F852E83507	CRC-3F7B0B307CC870CD		0	negatome
Q13158	Q6DQH2	CRC-0E65E2F852E83507	CRC-42E83543ECD91E6E		0	negatome
Q13158	Q8IUC6	CRC-0E65E2F852E83507	CRC-5D071E3BE9240D9A		0	negatome
Q5SNZ0	Q6Q7Y5	CRC-0E827E3D9336161F	CRC-076F9F65508E8416		0	negatome
Q5SNZ0	Q63210	CRC-0E827E3D9336161F	CRC-D178524AD7A0A9FF		0	negatome
B2RWS6	P70671	CRC-0E9B2D9508237671	CRC-1FF67C4E0FC7F027		0	negatome
B2RWS6	P70434	CRC-0E9B2D9508237671	CRC-30B102C668F56142		0	negatome
P02866	P21836	CRC-0F2F7DBBCF547E42	CRC-66E2512463C21172		0	negatome
P02866	P22303	CRC-0F2F7DBBCF547E42	CRC-B9AA84C77831C302		0	negatome
O00499	P03255	CRC-0FF1956F0C7E3B50	CRC-8C5997A3908C40D7		0	negatome
O55131	P42208	CRC-1028CCF14023059C	CRC-C4BFFB3F1815E081		0	negatome
Q92785	Q9H9D4	CRC-1044B4D3036075FC	CRC-0D3CDA7572D17721		0	negatome
Q92785	Q92785	CRC-1044B4D3036075FC	CRC-1044B4D3036075FC		0	negatome
Q92785	Q9H2S9	CRC-1044B4D3036075FC	CRC-42AE169A3E2E14D3		0	negatome
Q92785	Q9UHX1	CRC-1044B4D3036075FC	CRC-619F3C30D1C5951C		0	negatome
Q92785	Q93096	CRC-1044B4D3036075FC	CRC-702008013D3F3835		0	negatome
Q92785	Q9NQX6	CRC-1044B4D3036075FC	CRC-A9DB42D0870A7767		0	negatome
Q92785	Q9UHR5	CRC-1044B4D3036075FC	CRC-C48CEFBD73CE82BC		0	negatome
Q92785	Q9UH92	CRC-1044B4D3036075FC	CRC-D1981730051473C5		0	negatome
Q92785	Q9H6S3	CRC-1044B4D3036075FC	CRC-DAB07744B04CFEE2		0	negatome
O15169	Q15797	CRC-10779173F5092F3F	CRC-2DD34B7F434DBC7E		0	negatome
O15169	Q99717	CRC-10779173F5092F3F	CRC-4A1FD7EC7BD06728		0	negatome
O15169	P30153	CRC-10779173F5092F3F	CRC-5174EBE94D537836		0	negatome
O15169	Q13485	CRC-10779173F5092F3F	CRC-7EE3C4647712DA90		0	negatome
Q8TAU0	Q9H9D4	CRC-10A279CFA3C8A6DB	CRC-0D3CDA7572D17721		0	negatome
Q8TAU0	Q92785	CRC-10A279CFA3C8A6DB	CRC-1044B4D3036075FC		0	negatome
Q8TAU0	Q8TAU0	CRC-10A279CFA3C8A6DB	CRC-10A279CFA3C8A6DB		0	negatome
Q8TAU0	Q9H2S9	CRC-10A279CFA3C8A6DB	CRC-42AE169A3E2E14D3		0	negatome
Q8TAU0	Q9UHX1	CRC-10A279CFA3C8A6DB	CRC-619F3C30D1C5951C		0	negatome
Q8TAU0	Q8TBX8	CRC-10A279CFA3C8A6DB	CRC-65D1CBCF0826D476		0	negatome
Q8TAU0	Q93096	CRC-10A279CFA3C8A6DB	CRC-702008013D3F3835		0	negatome
Q8TAU0	Q92730	CRC-10A279CFA3C8A6DB	CRC-9FD56ACB878FBCCA		0	negatome
Q8TAU0	Q9NQX6	CRC-10A279CFA3C8A6DB	CRC-A9DB42D0870A7767		0	negatome
Q8TAU0	Q9UHR5	CRC-10A279CFA3C8A6DB	CRC-C48CEFBD73CE82BC		0	negatome
Q8TAU0	Q9UH92	CRC-10A279CFA3C8A6DB	CRC-D1981730051473C5		0	negatome
Q8TAU0	Q9H6S3	CRC-10A279CFA3C8A6DB	CRC-DAB07744B04CFEE2		0	negatome
P35292	Q80T23	CRC-11052D3EC730EFAB	CRC-C1560AB677818B57		0	negatome
P35292	Q91V27	CRC-11052D3EC730EFAB	CRC-C91444B16B8EFA1D		0	negatome
P46527	Q92574	CRC-1118D58901CDF3FC	CRC-EF15509385C7AACC		0	negatome
P46527	Q92574	CRC-1118D58901CDF3FC	CRC-EF15509385C7AACC		0	negatome
Q00526	Q9UBD5	CRC-1128BE0096EA262A	CRC-E713569A11B39B1C		0	negatome
P35918	P97946	CRC-11859F8A58A33A39	CRC-6636B17FBF07037C		0	negatome
P19544	Q15942	CRC-11C7FA3D485096B2	CRC-2833B1EFA260B762		0	negatome
P19544	P63006	CRC-11C7FA3D485096B2	CRC-CC8637984998ADAF		0	negatome
A2AM29	P30658	CRC-120A0604B13675EC	CRC-F89EF3CEF14ACA72		0	negatome
Q05519	Q8WU68	CRC-1211E96DDC0A3182	CRC-64BA09EEDE3FB093		0	negatome
Q762B6	Q8N668	CRC-1233AE33CD302122	CRC-9C810AECA67011DC		0	negatome
C6EGH1	P03682	CRC-12A14B75A3CAEA19	CRC-DF8407CC27886120		0	negatome
A1E347	Q5FWY5	CRC-13E28B257556496D	CRC-FE96E23EBFAA2924		0	negatome
P14270-1	Q5FWY5	CRC-13E28B257556496D	CRC-FE96E23EBFAA2924		0	negatome
P14270-5	Q5FWY5	CRC-13E28B257556496D	CRC-FE96E23EBFAA2924		0	negatome
P08646	Q8IQW0	CRC-14236DCD65EACCD2	CRC-827491ADDE5E4661		0	negatome
Q15466	Q92786	CRC-14BEE2B3FF46154A	CRC-D243CEB421B313CA		0	negatome
P03495	P05161	CRC-14D0308795627E5E	CRC-B6858A15AB0FFFDE		0	negatome
P83436	Q8WTW3	CRC-14DAC431B291582C	CRC-68C066504260E36E		0	negatome
P83436	Q14746	CRC-14DAC431B291582C	CRC-8E393CBE1114DB28		0	negatome
P83436	Q96JB2	CRC-14DAC431B291582C	CRC-B3DCF03FD4DC6A60		0	negatome
O55055	Q9UJW3	CRC-14FEF78C0D2F8BFB	CRC-65EC2AB7492D53B3		0	negatome
Q3UPW8	Q80US8	CRC-155DA78B9E77DF88	CRC-17E1149064907085		0	negatome
Q3UPW8	Q60948	CRC-155DA78B9E77DF88	CRC-C8FB5A56AFE3B27C		0	negatome
Q64008	Q91V27	CRC-158F5132F0DDE808	CRC-C91444B16B8EFA1D		0	negatome
G5DGD4	O24017	CRC-159FE70E5CD32ED5	CRC-A5BF4F2C01297120		0	negatome
P10145	P61073	CRC-15C649996E89319F	CRC-8C8476A186786B83		0	negatome
O95777	O95777	CRC-15D26E6B75AA2EE1	CRC-15D26E6B75AA2EE1		0	negatome
O95777	Q9Y4Y9	CRC-15D26E6B75AA2EE1	CRC-82B5C8830E64C992		0	negatome
P01139	P24786	CRC-164465E1DC550081	CRC-A3C6716B10D28540		0	negatome
P01139	Q8CJ26	CRC-164465E1DC550081	CRC-D46B7402D8362FDF		0	negatome
O75376	Q15466	CRC-1647FE060373A125	CRC-14BEE2B3FF46154A		0	negatome
O75376	Q92786	CRC-1647FE060373A125	CRC-D243CEB421B313CA		0	negatome
P18113	P63059	CRC-16705C200E02995B	CRC-0B0411F51F614A01		0	negatome
Q13541	Q8WVB6	CRC-1682A6BA74132966	CRC-1C71B8D71DA916CB		0	negatome
P29965	Q68396	CRC-16F5CEB093BCC2BB	CRC-4874D6CC0B1646F5		0	negatome
P29965	Q9YP87	CRC-16F5CEB093BCC2BB	CRC-FC720DA743F62A2A		0	negatome
P09341	P21109	CRC-17048A6B4D765CA2	CRC-EFE49ACB9D1E0F21		0	negatome
P19366	Q9LHE5	CRC-174F4B075E7D57E3	CRC-60F108524F91E1E4		0	negatome
P27348	P31749	CRC-175534325E9E37C4	CRC-6EAFF4F8AD436714		0	negatome
P27348	Q01814	CRC-175534325E9E37C4	CRC-7F10221B7B9AC3A2		0	negatome
P35285	Q80T23	CRC-1799B676CA9091F7	CRC-C1560AB677818B57		0	negatome
P35285	Q91V27	CRC-1799B676CA9091F7	CRC-C91444B16B8EFA1D		0	negatome
P36897	Q13347	CRC-179F11404725DDCB	CRC-02797BB72A752A96		0	negatome
P27584	Q10282	CRC-1841026C8BDCC0E6	CRC-7186EB505C68980E		0	negatome
Q07157	Q5JTD0	CRC-189E31617084C0CC	CRC-07D41B72E1CB0E20		0	negatome
G0TQZ9	Q9U6W1	CRC-18C0D7E01B851150	CRC-58636C2E8C8C58BC		0	negatome
O75558	Q13642	CRC-18E8B43BA987D891	CRC-50FD17F7B2606823		0	negatome
O75558	Q13643	CRC-18E8B43BA987D891	CRC-D1A037C260370DFD		0	negatome
O75558	Q14192	CRC-18E8B43BA987D891	CRC-E94E3A7F6601F9F3		0	negatome
P02870	Q8C129	CRC-194756B9F1A069C5	CRC-AD6F98196EBA683B		0	negatome
C4ZQ83	P19934	CRC-195147734CDF8B04	CRC-8B2F52B4B97C655E		0	negatome
O15492	P35348	CRC-19B384E935F3E5D1	CRC-1A50487531DECDF0		0	negatome
O15492	P25100	CRC-19B384E935F3E5D1	CRC-EBEB134CF20A4988		0	negatome
O15492	P35368	CRC-19B384E935F3E5D1	CRC-F081A23D2F943F7F		0	negatome
Q8L500	Q8W420	CRC-19D6C9571CA77A40	CRC-FDB9F994CBF0D017		0	negatome
P13808	Q02357	CRC-1A0782C0071782EE	CRC-B5F3EBB447C3485D		0	negatome
P63011	Q99N80	CRC-1A3E9F8C9D09EB40	CRC-13ACC780131F65FB		0	negatome
P63011	Q99N50	CRC-1A3E9F8C9D09EB40	CRC-226B59F5A32FA4A4		0	negatome
P63011	Q91V27	CRC-1A3E9F8C9D09EB40	CRC-C91444B16B8EFA1D		0	negatome
P63011	Q99N48	CRC-1A3E9F8C9D09EB40	CRC-F9F404D2D77A6351		0	negatome
P54748-1	Q9QVC8	CRC-1A5F5101E4DBF1B6	CRC-5701387E5DC991C8		0	negatome
P54748-1	Q5U2T9	CRC-1A5F5101E4DBF1B6	CRC-C63929D7A5FF2B85		0	negatome
P54748-1	Q9JLG9	CRC-1A5F5101E4DBF1B6	CRC-E9BC3A4084F64A0E		0	negatome
P54748-1	Q5FWY5	CRC-1A5F5101E4DBF1B6	CRC-FE96E23EBFAA2924		0	negatome
P54748-2	Q5FWY5	CRC-1A5F5101E4DBF1B6	CRC-FE96E23EBFAA2924		0	negatome
Q548T0	Q99N50	CRC-1A7735C0566BDC8F	CRC-226B59F5A32FA4A4		0	negatome
Q548T0	Q549X6	CRC-1A7735C0566BDC8F	CRC-2AC218E2A4BE4C8D		0	negatome
Q548T0	Q80T23	CRC-1A7735C0566BDC8F	CRC-C1560AB677818B57		0	negatome
Q548T0	Q99N48	CRC-1A7735C0566BDC8F	CRC-F9F404D2D77A6351		0	negatome
P22681	Q6PIZ9	CRC-1AA6BF67377322CA	CRC-236A4BEFF427EA3E		0	negatome
O00623	O00623	CRC-1AF0BE6416422109	CRC-1AF0BE6416422109		0	negatome
O00623	Q92968	CRC-1AF0BE6416422109	CRC-1E85BEE04366C01C		0	negatome
O00623	P56589	CRC-1AF0BE6416422109	CRC-3515A1F29656B7CC		0	negatome
O00623	Q9Y5Y5	CRC-1AF0BE6416422109	CRC-57243AEE0B165C59		0	negatome
O00623	O75192	CRC-1AF0BE6416422109	CRC-D904EC715271FF87		0	negatome
O00623	O96011	CRC-1AF0BE6416422109	CRC-DC26CE30021C7B8D		0	negatome
O00623	P28328	CRC-1AF0BE6416422109	CRC-F624F93C613FF2DB		0	negatome
O00623	O75381	CRC-1AF0BE6416422109	CRC-FED28F62A0B94E7F		0	negatome
Q24311	Q7JWH5	CRC-1AF0D035DE85363C	CRC-41F16639A2EC1252		0	negatome
Q8IYS3	Q92793	CRC-1AF2BD61C79191DD	CRC-3BEA9B8558BA1A5E		0	negatome
P48729	Q96EV8	CRC-1B2085AE33CAFAC2	CRC-0504C86E12B66C08		0	negatome
P48729	Q9BQY9	CRC-1B2085AE33CAFAC2	CRC-DA1F062426867A2C		0	negatome
P04792	P23588	CRC-1B4DC44A6F6606D5	CRC-31CEFEA865FB10D2		0	negatome
P04792	Q14152	CRC-1B4DC44A6F6606D5	CRC-485C01B28D67EBBA		0	negatome
P04792	P60842	CRC-1B4DC44A6F6606D5	CRC-6EF89939F3045420		0	negatome
P04792	P06730	CRC-1B4DC44A6F6606D5	CRC-B869B8DE615E699D		0	negatome
P04792	Q9BUB5	CRC-1B4DC44A6F6606D5	CRC-CAE225C35DCB2B43		0	negatome
P04792	P19940	CRC-1B4DC44A6F6606D5	CRC-FC4040ED31EB47D2		0	negatome
Q15910	Q9BQ52	CRC-1B5029EB9D509BE5	CRC-4AE701C755EC7339		0	negatome
Q15910	Q92769	CRC-1B5029EB9D509BE5	CRC-775419CCCDAE07FA		0	negatome
P28360	Q04724	CRC-1B5F01B35920E64F	CRC-695FD1A37410EFE5		0	negatome
Q07832	Q61037	CRC-1B980646366EFA10	CRC-913AB87194AADA5B		0	negatome
P01374	Q68396	CRC-1BBD5E7D496A3A82	CRC-4874D6CC0B1646F5		0	negatome
O60313	Q7Z434	CRC-1C397109787AEB4D	CRC-0E23E3E115941EE8		0	negatome
O88895	P97503	CRC-1CB84DE250C3BB2C	CRC-D089523714C86BA6		0	negatome
P0C8E7	P10145	CRC-1CDFB331167EE2CF	CRC-15C649996E89319F		0	negatome
P0C8E7	P13501	CRC-1CDFB331167EE2CF	CRC-FB0BFAF9A87C620F		0	negatome
P10747	Q9NZQ7	CRC-1D9B6552A5878D0F	CRC-FE957086E62A31A8		0	negatome
P10747	Q9NZQ7	CRC-1D9B6552A5878D0F	CRC-FE957086E62A31A8		0	negatome
Q9UI95	Q9Y6D9	CRC-1DE6353EF7D650B9	CRC-DA65529856A37EE3		0	negatome
Q61635	Q9QZ85	CRC-1DFA0DE85082AF4E	CRC-44B5A95FCA58A37A		0	negatome
P53566	Q6PDY0	CRC-1E6CC09A330BEFEF	CRC-DD49A77706FDE2C9		0	negatome
P07437	Q04724	CRC-1E6CD0A36773A103	CRC-695FD1A37410EFE5		0	negatome
P07437	P09874	CRC-1E6CD0A36773A103	CRC-6A5FC01EB91C046B		0	negatome
Q92968	Q9Y5Y5	CRC-1E85BEE04366C01C	CRC-57243AEE0B165C59		0	negatome
Q7ZX24	Q8QHK8	CRC-1EA342A7E2A36DDA	CRC-51990EC50A556092		0	negatome
O14786	P15692-8	CRC-1EAC2FA6C8FD6A0B	CRC-FB49F364446F4D01		0	negatome
P13631	Q96RL1	CRC-1EE27B22772D4AFD	CRC-56B7699E42395861		0	negatome
Q13242	Q16629	CRC-1EE7BD8601CD80C0	CRC-49136754D9630853		0	negatome
P55002	Q9WVJ9	CRC-1F193F2BE2EF1D05	CRC-4969C0328A23DD88		0	negatome
P55002	Q08879	CRC-1F193F2BE2EF1D05	CRC-76C527A12E97D0E1		0	negatome
P55002	Q8BPB5	CRC-1F193F2BE2EF1D05	CRC-9CEDC7BF2FF9430F		0	negatome
P55002	Q9WVH9	CRC-1F193F2BE2EF1D05	CRC-F15CC70CCFBFDC97		0	negatome
P42586	Q62414	CRC-1F3DBB8127667F19	CRC-68342005219829B1		0	negatome
P07249	P19419	CRC-1F46C5C53ED88EE6	CRC-68F71F8ADB9D38CA		0	negatome
P07249	P13574	CRC-1F46C5C53ED88EE6	CRC-EE7371F18BBC0337		0	negatome
P35872	Q5SJE9	CRC-1F9406B9EFDF9C0E	CRC-FCA945BAE6309620		0	negatome
P08476	Q04771	CRC-201CDEDF99CB6919	CRC-E2B0F051D19DD052		0	negatome
P63095	Q78NN4	CRC-20341187BE4412ED	CRC-4F166A6607184F31		0	negatome
P12643	Q13873	CRC-20653A3987B25E60	CRC-1389923CE574B913		0	negatome
P12643	Q965M2	CRC-20653A3987B25E60	CRC-5854EDDA671E45C2		0	negatome
Q6QLM7	Q6ZP65	CRC-2068CCC4E05A24CB	CRC-F514AF0264B13F09		0	negatome
P62310	P62310	CRC-206B0DF0D95CD4D2	CRC-206B0DF0D95CD4D2		0	negatome
P62310	Q9Y4Z0	CRC-206B0DF0D95CD4D2	CRC-BCEFB20247335A1B		0	negatome
P01587	P26955	CRC-209C7CBB4FF77349	CRC-8E30ECB42C67F89A		0	negatome
P01587	P26955	CRC-209C7CBB4FF77349	CRC-8E30ECB42C67F89A		0	negatome
P62312	P62312	CRC-21167891FDE804F1	CRC-21167891FDE804F1		0	negatome
P62312	Q9Y333	CRC-21167891FDE804F1	CRC-623591A09A6ABACE		0	negatome
P62312	Q9Y4Z0	CRC-21167891FDE804F1	CRC-BCEFB20247335A1B		0	negatome
P51843	Q92786	CRC-214E237097DF9786	CRC-D243CEB421B313CA		0	negatome
P63101	Q61097	CRC-2164DF3793B45B7A	CRC-EAEEB23FAE715D94		0	negatome
Q61146	Q8VHG2	CRC-21D62F370EB33E7D	CRC-530D84854E943CD4		0	negatome
O35625	P70339	CRC-2216D66E92387B81	CRC-1C0482997EA95323		0	negatome
P11627	P53986	CRC-22BE57001CB2A538	CRC-8B6DAB7741340DD7		0	negatome
P13010	P46063	CRC-2363CA84834E74A3	CRC-F616DC3191F79391		0	negatome
O60936	P84103	CRC-239EF1A143EF6168	CRC-02F0A5EE33FF28A0		0	negatome
O60936	Q01081	CRC-239EF1A143EF6168	CRC-3DA130DCE0B953F6		0	negatome
O60936	Q08170	CRC-239EF1A143EF6168	CRC-5BBAB917C218C20A		0	negatome
O60936	P62995	CRC-239EF1A143EF6168	CRC-60B310C8BA443E28		0	negatome
O60936	Q01130	CRC-239EF1A143EF6168	CRC-68121AC4D35714FA		0	negatome
O60936	Q13247	CRC-239EF1A143EF6168	CRC-72305506CE948B94		0	negatome
O60936	P63162	CRC-239EF1A143EF6168	CRC-9A176D043561474C		0	negatome
O60936	Q07955	CRC-239EF1A143EF6168	CRC-C28A0B2F112EA713		0	negatome
O60936	Q15424	CRC-239EF1A143EF6168	CRC-E865940BC7783C4A		0	negatome
Q5YLB2	Q99728	CRC-23A115E20904F78D	CRC-95E2D904046B5646		0	negatome
P79348	Q9Z0G0	CRC-23B39C2DC4A0617F	CRC-52E5ED6092EA9300		0	negatome
P42225	Q2EMV9	CRC-249D919952BE65F1	CRC-42E902CC20858931		0	negatome
