From	To	crc_hash	source	description
P05132	P05132	CRC-02F85D66EB21A1FA	query	sp|P05132|KAPCA_MOUSE cAMP-dependent protein kinase catalytic subunit alpha OS=Mus musculus OX=10090 GN=Prkaca PE=1 SV=3
Q6ZVN8	Q6ZVN8	CRC-031C835F9B6DC06C	query	sp|Q6ZVN8|RGMC_HUMAN Hemojuvelin OS=Homo sapiens OX=9606 GN=HJV PE=1 SV=1
Q12962	Q12962	CRC-032ED5CA97EBE411	query	sp|Q12962|TAF10_HUMAN Transcription initiation factor TFIID subunit 10 OS=Homo sapiens OX=9606 GN=TAF10 PE=1 SV=1
P21246	P21246	CRC-0359C08B6497B579	query	sp|P21246|PTN_HUMAN Pleiotrophin OS=Homo sapiens OX=9606 GN=PTN PE=1 SV=1
P18901	P18901	CRC-0380042E8590F470	query	sp|P18901|DRD1_RAT D(1A) dopamine receptor OS=Rattus norvegicus OX=10116 GN=Drd1 PE=1 SV=2
P22298	P22298	CRC-0390D3DE28A9655C	query	sp|P22298|SLPI_PIG Antileukoproteinase (Fragment) OS=Sus scrofa OX=9823 GN=SLPI PE=1 SV=2
P63300	P63300	CRC-03E297B668D3D7E0	query	sp|P63300|SELW_MOUSE Selenoprotein W OS=Mus musculus OX=10090 GN=Selenow PE=1 SV=3
P00973	P00973	CRC-03F0A3AA17DAD4E4	query	sp|P00973|OAS1_HUMAN 2'-5'-oligoadenylate synthase 1 OS=Homo sapiens OX=9606 GN=OAS1 PE=1 SV=4
P05532	P05532	CRC-03FB4D672248585E	query	sp|P05532|KIT_MOUSE Mast/stem cell growth factor receptor Kit OS=Mus musculus OX=10090 GN=Kit PE=1 SV=3
Q14565	Q14565	CRC-040A6E4CF1FEBFA2	query	sp|Q14565|DMC1_HUMAN Meiotic recombination protein DMC1/LIM15 homolog OS=Homo sapiens OX=9606 GN=DMC1 PE=1 SV=2
P63239	P63239	CRC-04239C7B6385382E	query	sp|P63239|NEC1_MOUSE Neuroendocrine convertase 1 OS=Mus musculus OX=10090 GN=Pcsk1 PE=1 SV=1
P39429	P39429	CRC-043B391180365F10	query	sp|P39429|TRAF2_MOUSE TNF receptor-associated factor 2 OS=Mus musculus OX=10090 GN=Traf2 PE=1 SV=1
P02788	P02788	CRC-0489CABA6D13C098	query	sp|P02788|TRFL_HUMAN Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6
P49185	P49185	CRC-04E388B4F94633D4	query	sp|P49185|MK08_RAT Mitogen-activated protein kinase 8 OS=Rattus norvegicus OX=10116 GN=Mapk8 PE=1 SV=1
Q96EV8	Q96EV8	CRC-0504C86E12B66C08	query	sp|Q96EV8|DTBP1_HUMAN Dysbindin OS=Homo sapiens OX=9606 GN=DTNBP1 PE=1 SV=1
P42224	P42224	CRC-054A813522364BA6	query	sp|P42224|STAT1_HUMAN Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2
P47709	P47709	CRC-05838BC3C7A86444	query	sp|P47709|RP3A_RAT Rabphilin-3A OS=Rattus norvegicus OX=10116 GN=Rph3a PE=1 SV=1
P25490	P25490	CRC-058C05A0AD2D04E6	query	sp|P25490|TYY1_HUMAN Transcriptional repressor protein YY1 OS=Homo sapiens OX=9606 GN=YY1 PE=1 SV=2
A1X4Q1	A1X4Q1	CRC-05BE58D8A6FDC2A2	query	tr|A1X4Q1|A1X4Q1_HUMAN PMCA4b (Fragment) OS=Homo sapiens OX=9606 GN=ATP2B4 PE=2 SV=1
Q15050	Q15050	CRC-061C3A6174C2E7C2	query	sp|Q15050|RRS1_HUMAN Ribosome biogenesis regulatory protein homolog OS=Homo sapiens OX=9606 GN=RRS1 PE=1 SV=2
P56277	P56277	CRC-0646725C35A915D9	query	sp|P56277|CMC4_HUMAN Cx9C motif-containing protein 4 OS=Homo sapiens OX=9606 GN=CMC4 PE=1 SV=1
P49177	P49177	CRC-06673A2F707A2F44	query	sp|P49177|GBB_ARATH Guanine nucleotide-binding protein subunit beta OS=Arabidopsis thaliana OX=3702 GN=GB1 PE=1 SV=1
Q8TDR0	Q8TDR0	CRC-0675AA0E5319D2EB	query	sp|Q8TDR0|MIPT3_HUMAN TRAF3-interacting protein 1 OS=Homo sapiens OX=9606 GN=TRAF3IP1 PE=1 SV=1
P14753	P14753	CRC-067657A2E26451CA	query	sp|P14753|EPOR_MOUSE Erythropoietin receptor OS=Mus musculus OX=10090 GN=Epor PE=1 SV=1
A2ASQ1	A2ASQ1	CRC-0679A3F6D8BD1286	query	sp|A2ASQ1|AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1
Q6FHM7	P05412	CRC-0695E23AC4D33561	query	sp|P05412|JUN_HUMAN Transcription factor Jun OS=Homo sapiens OX=9606 GN=JUN PE=1 SV=2
P05412	P05412	CRC-0695E23AC4D33561	query	sp|P05412|JUN_HUMAN Transcription factor Jun OS=Homo sapiens OX=9606 GN=JUN PE=1 SV=2
P49848	P49848	CRC-06C6BFA563580823	query	sp|P49848|TAF6_HUMAN Transcription initiation factor TFIID subunit 6 OS=Homo sapiens OX=9606 GN=TAF6 PE=1 SV=1
P21707	P21707	CRC-06CE28F04C97A722	query	sp|P21707|SYT1_RAT Synaptotagmin-1 OS=Rattus norvegicus OX=10116 GN=Syt1 PE=1 SV=3
A5JSJ9	A5JSJ9	CRC-07269000E6C214F0	query	tr|A5JSJ9|A5JSJ9_HUMAN Claudin OS=Homo sapiens OX=9606 GN=CLDN1 PE=2 SV=1
Q9UM73	Q9UM73	CRC-0733D6C4FD212F41	query	sp|Q9UM73|ALK_HUMAN ALK tyrosine kinase receptor OS=Homo sapiens OX=9606 GN=ALK PE=1 SV=3
Q6Q7Y5	Q6Q7Y5	CRC-076F9F65508E8416	query	sp|Q6Q7Y5|GNA13_RAT Guanine nucleotide-binding protein subunit alpha-13 OS=Rattus norvegicus OX=10116 GN=Gna13 PE=1 SV=1
P62259	P62259	CRC-07817CCBD1F75B26	query	sp|P62259|1433E_MOUSE 14-3-3 protein epsilon OS=Mus musculus OX=10090 GN=Ywhae PE=1 SV=1
P62258	P62258	CRC-07817CCBD1F75B26	query	sp|P62258|1433E_HUMAN 14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1
P08553	P08553	CRC-0783F50558A7D4C3	query	sp|P08553|NFM_MOUSE Neurofilament medium polypeptide OS=Mus musculus OX=10090 GN=Nefm PE=1 SV=4
Q62417-3	Q62417	CRC-07C9A74BD794E390	query	sp|Q62417|SRBS1_MOUSE Sorbin and SH3 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Sorbs1 PE=1 SV=2
Q5JTD0	Q5JTD0	CRC-07D41B72E1CB0E20	query	sp|Q5JTD0|TJAP1_HUMAN Tight junction-associated protein 1 OS=Homo sapiens OX=9606 GN=TJAP1 PE=1 SV=1
O88689	O88689	CRC-082497DBBAEFB503	query	sp|O88689|PCDA4_MOUSE Protocadherin alpha-4 OS=Mus musculus OX=10090 GN=Pcdha4 PE=1 SV=1
P92973	P92973	CRC-083C963EE6DD53A6	query	sp|P92973|CCA1_ARATH Protein CCA1 OS=Arabidopsis thaliana OX=3702 GN=CCA1 PE=1 SV=1
O14543	O14543	CRC-08581DC411EFFF19	query	sp|O14543|SOCS3_HUMAN Suppressor of cytokine signaling 3 OS=Homo sapiens OX=9606 GN=SOCS3 PE=1 SV=1
P28069	P28069	CRC-0866777E3E425873	query	sp|P28069|PIT1_HUMAN Pituitary-specific positive transcription factor 1 OS=Homo sapiens OX=9606 GN=POU1F1 PE=1 SV=1
P25963	P25963	CRC-088B313226786395	query	sp|P25963|IKBA_HUMAN NF-kappa-B inhibitor alpha OS=Homo sapiens OX=9606 GN=NFKBIA PE=1 SV=1
O43172	O43172	CRC-08975A26D0B21857	query	sp|O43172|PRP4_HUMAN U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens OX=9606 GN=PRPF4 PE=1 SV=2
C9WF17	C9WF17	CRC-089A7E14F77333CC	query	tr|C9WF17|C9WF17_PAPHA Apolipoprotein L-I OS=Papio hamadryas OX=9557 GN=apoL-I PE=2 SV=1
Q8UVW8	Q8UVW8	CRC-08AAA7910B59E3DA	query	tr|Q8UVW8|Q8UVW8_XENLA Acetyl-CoA carboxylase kinase OS=Xenopus laevis OX=8355 GN=prkaa2.S PE=2 SV=1
P16086	P16086	CRC-08DDF01A2871278A	query	sp|P16086|SPTN1_RAT Spectrin alpha chain, non-erythrocytic 1 OS=Rattus norvegicus OX=10116 GN=Sptan1 PE=1 SV=2
P11802	P11802	CRC-0916A0C07403A33A	query	sp|P11802|CDK4_HUMAN Cyclin-dependent kinase 4 OS=Homo sapiens OX=9606 GN=CDK4 PE=1 SV=2
Q1M168	Q1M168	CRC-091E21129D1ADD34	query	sp|Q1M168|ATCAY_RAT Caytaxin OS=Rattus norvegicus OX=10116 GN=Atcay PE=1 SV=1
P08588	P08588	CRC-0950F2684E4721B8	query	sp|P08588|ADRB1_HUMAN Beta-1 adrenergic receptor OS=Homo sapiens OX=9606 GN=ADRB1 PE=1 SV=2
H2LUV9	H2LUV9	CRC-09AECD6FA6F2A9E6	query	tr|H2LUV9|H2LUV9_ORYLA Pescadillo homolog OS=Oryzias latipes OX=8090 GN=PES1 PE=3 SV=2
Q07699	Q07699	CRC-09B812FA3F9E9018	query	sp|Q07699|SCN1B_HUMAN Sodium channel subunit beta-1 OS=Homo sapiens OX=9606 GN=SCN1B PE=1 SV=1
Q61559	Q61559	CRC-0A2290A54507E0C4	query	sp|Q61559|FCGRN_MOUSE IgG receptor FcRn large subunit p51 OS=Mus musculus OX=10090 GN=Fcgrt PE=1 SV=1
P37275	P37275	CRC-0A2714CC37C848D1	query	sp|P37275|ZEB1_HUMAN Zinc finger E-box-binding homeobox 1 OS=Homo sapiens OX=9606 GN=ZEB1 PE=1 SV=2
P25822	P25822	CRC-0A343220BB1F0B27	query	sp|P25822|PUM_DROME Maternal protein pumilio OS=Drosophila melanogaster OX=7227 GN=pum PE=1 SV=2
P01023	P01023	CRC-0A46DF09EFD3CF40	query	sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3
P49459	P49459	CRC-0AAEB5B7770E47E2	query	sp|P49459|UBE2A_HUMAN Ubiquitin-conjugating enzyme E2 A OS=Homo sapiens OX=9606 GN=UBE2A PE=1 SV=2
Q15545	Q15545	CRC-0AAFD3E33E3CCD6E	query	sp|Q15545|TAF7_HUMAN Transcription initiation factor TFIID subunit 7 OS=Homo sapiens OX=9606 GN=TAF7 PE=1 SV=1
P63059	P63059	CRC-0B0411F51F614A01	query	sp|P63059|THA_RAT Thyroid hormone receptor alpha OS=Rattus norvegicus OX=10116 GN=Thra PE=1 SV=1
Q9BQG0	Q9BQG0	CRC-0B053465D5B3511F	query	sp|Q9BQG0|MBB1A_HUMAN Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2
Q08024	Q08024	CRC-0B2E6101A35D0FD8	query	sp|Q08024|PEBB_MOUSE Core-binding factor subunit beta OS=Mus musculus OX=10090 GN=Cbfb PE=1 SV=1
O00244	O00244	CRC-0B364B1BD1279314	query	sp|O00244|ATOX1_HUMAN Copper transport protein ATOX1 OS=Homo sapiens OX=9606 GN=ATOX1 PE=1 SV=1
P27699	P27699	CRC-0B387B7247113088	query	sp|P27699|CREM_MOUSE cAMP-responsive element modulator OS=Mus musculus OX=10090 GN=Crem PE=1 SV=2
P52332	P52332	CRC-0B9816AEA5B3868B	query	sp|P52332|JAK1_MOUSE Tyrosine-protein kinase JAK1 OS=Mus musculus OX=10090 GN=Jak1 PE=1 SV=1
Q9JJZ9	Q9JJZ9	CRC-0B9F9CF3B180DA82	query	sp|Q9JJZ9|CNGB3_MOUSE Cyclic nucleotide-gated cation channel beta-3 OS=Mus musculus OX=10090 GN=Cngb3 PE=1 SV=1
O75496	O75496	CRC-0BABE60F6F5AC252	query	sp|O75496|GEMI_HUMAN Geminin OS=Homo sapiens OX=9606 GN=GMNN PE=1 SV=1
P06876	P06876	CRC-0C6308E584726D01	query	sp|P06876|MYB_MOUSE Transcriptional activator Myb OS=Mus musculus OX=10090 GN=Myb PE=1 SV=2
Q9UHJ6	Q9UHJ6	CRC-0C930B380826AC1E	query	sp|Q9UHJ6|SHPK_HUMAN Sedoheptulokinase OS=Homo sapiens OX=9606 GN=SHPK PE=1 SV=4
P40933	P40933	CRC-0CE0520C1D8379E2	query	sp|P40933|IL15_HUMAN Interleukin-15 OS=Homo sapiens OX=9606 GN=IL15 PE=1 SV=1
P09866	P09866	CRC-0CE81B6E7DEFDB5E	query	sp|P09866|POLG_DEN4D Genome polyprotein OS=Dengue virus type 4 (strain Dominica/814669/1981) OX=408871 PE=1 SV=2
Q9Y3M2	Q9Y3M2	CRC-0D243AD2CC436E55	query	sp|Q9Y3M2|CBY1_HUMAN Protein chibby homolog 1 OS=Homo sapiens OX=9606 GN=CBY1 PE=1 SV=1
Q13133	Q13133	CRC-0D27B237440F8C9C	query	sp|Q13133|NR1H3_HUMAN Oxysterols receptor LXR-alpha OS=Homo sapiens OX=9606 GN=NR1H3 PE=1 SV=2
Q9H9D4	Q9H9D4	CRC-0D3CDA7572D17721	query	sp|Q9H9D4|ZN408_HUMAN Zinc finger protein 408 OS=Homo sapiens OX=9606 GN=ZNF408 PE=1 SV=1
P23510	P23510	CRC-0D5604AD29D529CF	query	sp|P23510|TNFL4_HUMAN Tumor necrosis factor ligand superfamily member 4 OS=Homo sapiens OX=9606 GN=TNFSF4 PE=1 SV=1
Q9FEG2	Q9FEG2	CRC-0D82BE9E29A54FE7	query	sp|Q9FEG2|TOM1_ARATH Tobamovirus multiplication protein 1 OS=Arabidopsis thaliana OX=3702 GN=TOM1 PE=1 SV=1
Q15406	Q15406	CRC-0D8578E192581A8E	query	sp|Q15406|NR6A1_HUMAN Nuclear receptor subfamily 6 group A member 1 OS=Homo sapiens OX=9606 GN=NR6A1 PE=1 SV=2
P05111	P05111	CRC-0E03D2AB12BF8E57	query	sp|P05111|INHA_HUMAN Inhibin alpha chain OS=Homo sapiens OX=9606 GN=INHA PE=1 SV=1
Q7Z434	Q7Z434	CRC-0E23E3E115941EE8	query	sp|Q7Z434|MAVS_HUMAN Mitochondrial antiviral-signaling protein OS=Homo sapiens OX=9606 GN=MAVS PE=1 SV=2
P17980	P17980	CRC-0E443465DDDEBB0B	query	sp|P17980|PRS6A_HUMAN 26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3
Q13158	Q13158	CRC-0E65E2F852E83507	query	sp|Q13158|FADD_HUMAN FAS-associated death domain protein OS=Homo sapiens OX=9606 GN=FADD PE=1 SV=1
Q5SNZ0	Q5SNZ0	CRC-0E827E3D9336161F	query	sp|Q5SNZ0|GRDN_MOUSE Girdin OS=Mus musculus OX=10090 GN=Ccdc88a PE=1 SV=2
B2RWS6	B2RWS6	CRC-0E9B2D9508237671	query	sp|B2RWS6|EP300_MOUSE Histone acetyltransferase p300 OS=Mus musculus OX=10090 GN=Ep300 PE=1 SV=2
Q9Y2V7	Q9Y2V7	CRC-0F29785E722B5185	query	sp|Q9Y2V7|COG6_HUMAN Conserved oligomeric Golgi complex subunit 6 OS=Homo sapiens OX=9606 GN=COG6 PE=1 SV=2
P02866	P02866	CRC-0F2F7DBBCF547E42	query	sp|P02866|CONA_CANEN Concanavalin-A OS=Canavalia ensiformis OX=3823 PE=1 SV=2
Q8VHQ7	Q8VHQ7	CRC-0F994F4D85202400	query	sp|Q8VHQ7|SYTL4_RAT Synaptotagmin-like protein 4 OS=Rattus norvegicus OX=10116 GN=Sytl4 PE=1 SV=1
O00499	O00499	CRC-0FF1956F0C7E3B50	query	sp|O00499|BIN1_HUMAN Myc box-dependent-interacting protein 1 OS=Homo sapiens OX=9606 GN=BIN1 PE=1 SV=1
O55131	O55131	CRC-1028CCF14023059C	query	sp|O55131|SEPT7_MOUSE Septin-7 OS=Mus musculus OX=10090 GN=Septin7 PE=1 SV=1
Q92785	Q92785	CRC-1044B4D3036075FC	query	sp|Q92785|REQU_HUMAN Zinc finger protein ubi-d4 OS=Homo sapiens OX=9606 GN=DPF2 PE=1 SV=2
Q96NA2	Q96NA2	CRC-1057A1DAC2FFED94	query	sp|Q96NA2|RILP_HUMAN Rab-interacting lysosomal protein OS=Homo sapiens OX=9606 GN=RILP PE=1 SV=1
Q9UBY5	Q9UBY5	CRC-105DC9DD185E2CE7	query	sp|Q9UBY5|LPAR3_HUMAN Lysophosphatidic acid receptor 3 OS=Homo sapiens OX=9606 GN=LPAR3 PE=1 SV=1
O15169	O15169	CRC-10779173F5092F3F	query	sp|O15169|AXIN1_HUMAN Axin-1 OS=Homo sapiens OX=9606 GN=AXIN1 PE=1 SV=2
Q8TAU0	Q8TAU0	CRC-10A279CFA3C8A6DB	query	sp|Q8TAU0|NKX23_HUMAN Homeobox protein Nkx-2.3 OS=Homo sapiens OX=9606 GN=NKX2-3 PE=2 SV=2
Q9VVI2	Q9VVI2	CRC-10B567618DF26CB6	query	sp|Q9VVI2|EDC3_DROME Enhancer of mRNA-decapping protein 3 OS=Drosophila melanogaster OX=7227 GN=Edc3 PE=1 SV=1
P35292	P35292	CRC-11052D3EC730EFAB	query	sp|P35292|RAB17_MOUSE Ras-related protein Rab-17 OS=Mus musculus OX=10090 GN=Rab17 PE=1 SV=1
P46527	P46527	CRC-1118D58901CDF3FC	query	sp|P46527|CDN1B_HUMAN Cyclin-dependent kinase inhibitor 1B OS=Homo sapiens OX=9606 GN=CDKN1B PE=1 SV=1
Q00526	Q00526	CRC-1128BE0096EA262A	query	sp|Q00526|CDK3_HUMAN Cyclin-dependent kinase 3 OS=Homo sapiens OX=9606 GN=CDK3 PE=1 SV=1
P21731	P21731	CRC-114A7C3F3F0D35F1	query	sp|P21731|TA2R_HUMAN Thromboxane A2 receptor OS=Homo sapiens OX=9606 GN=TBXA2R PE=1 SV=3
P35918	P35918	CRC-11859F8A58A33A39	query	sp|P35918|VGFR2_MOUSE Vascular endothelial growth factor receptor 2 OS=Mus musculus OX=10090 GN=Kdr PE=1 SV=2
P19544	P19544	CRC-11C7FA3D485096B2	query	sp|P19544|WT1_HUMAN Wilms tumor protein OS=Homo sapiens OX=9606 GN=WT1 PE=1 SV=2
A2AM29	A2AM29	CRC-120A0604B13675EC	query	sp|A2AM29|AF9_MOUSE Protein AF-9 OS=Mus musculus OX=10090 GN=Mllt3 PE=1 SV=1
P02533	P02533	CRC-120BA30BA2F8E397	query	sp|P02533|K1C14_HUMAN Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4
Q05519	Q05519	CRC-1211E96DDC0A3182	query	sp|Q05519|SRS11_HUMAN Serine/arginine-rich splicing factor 11 OS=Homo sapiens OX=9606 GN=SRSF11 PE=1 SV=1
Q762B6	Q762B6	CRC-1233AE33CD302122	query	tr|Q762B6|Q762B6_HUMAN ATP7A protein OS=Homo sapiens OX=9606 GN=ATP7A PE=2 SV=1
O60832	O60832	CRC-12474DBEEFEB471C	query	sp|O60832|DKC1_HUMAN H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3
C6EGH1	C6EGH1	CRC-12A14B75A3CAEA19	uniparc	tr|A0A078LQK7|A0A078LQK7_CITKO DNA-directed RNA polymerase subunit alpha OS=Citrobacter koseri OX=545 GN=rpoA PE=3 SV=1
Q93WK5	Q93WK5	CRC-13057E6AE6E50C00	query	sp|Q93WK5|APRR7_ARATH Two-component response regulator-like APRR7 OS=Arabidopsis thaliana OX=3702 GN=APRR7 PE=1 SV=1
Q14396	Q14396	CRC-1346E9D2CDE62A54	query	tr|Q14396|Q14396_HUMAN Liver beta-subunit signal transducing proteins Gs/Gi (beta-G) OS=Homo sapiens OX=9606 PE=2 SV=1
Q9WTL2	Q9WTL2	CRC-1359F7B4EA88D070	query	sp|Q9WTL2|RAB25_MOUSE Ras-related protein Rab-25 OS=Mus musculus OX=10090 GN=Rab25 PE=1 SV=2
Q13873	Q13873	CRC-1389923CE574B913	query	sp|Q13873|BMPR2_HUMAN Bone morphogenetic protein receptor type-2 OS=Homo sapiens OX=9606 GN=BMPR2 PE=1 SV=2
P0A9X4	P0A9X4	CRC-1393696D8CDAEF93	query	sp|P0A9X4|MREB_ECOLI Cell shape-determining protein MreB OS=Escherichia coli (strain K12) OX=83333 GN=mreB PE=1 SV=1
Q99N80	Q99N80	CRC-13ACC780131F65FB	query	sp|Q99N80|SYTL1_MOUSE Synaptotagmin-like protein 1 OS=Mus musculus OX=10090 GN=Sytl1 PE=1 SV=2
P14270-1	P14270	CRC-13E28B257556496D	query	sp|P14270|PDE4D_RAT cAMP-specific 3',5'-cyclic phosphodiesterase 4D OS=Rattus norvegicus OX=10116 GN=Pde4d PE=1 SV=4
A1E347	P14270	CRC-13E28B257556496D	query	sp|P14270|PDE4D_RAT cAMP-specific 3',5'-cyclic phosphodiesterase 4D OS=Rattus norvegicus OX=10116 GN=Pde4d PE=1 SV=4
P14270-5	P14270	CRC-13E28B257556496D	query	sp|P14270|PDE4D_RAT cAMP-specific 3',5'-cyclic phosphodiesterase 4D OS=Rattus norvegicus OX=10116 GN=Pde4d PE=1 SV=4
P08646	P08646	CRC-14236DCD65EACCD2	query	sp|P08646|RAS1_DROME Ras-like protein 1 OS=Drosophila melanogaster OX=7227 GN=Ras85D PE=1 SV=2
Q15466	Q15466	CRC-14BEE2B3FF46154A	query	sp|Q15466|NR0B2_HUMAN Nuclear receptor subfamily 0 group B member 2 OS=Homo sapiens OX=9606 GN=NR0B2 PE=1 SV=2
Q99PI8	Q99PI8	CRC-14C5270EBF557E7C	query	sp|Q99PI8|RTN4R_MOUSE Reticulon-4 receptor OS=Mus musculus OX=10090 GN=Rtn4r PE=1 SV=1
P03495	P03495	CRC-14D0308795627E5E	query	sp|P03495|NS1_I72A2 Non-structural protein 1 OS=Influenza A virus (strain A/Udorn/307/1972 H3N2) OX=381517 GN=NS PE=1 SV=1
P83436	P83436	CRC-14DAC431B291582C	query	sp|P83436|COG7_HUMAN Conserved oligomeric Golgi complex subunit 7 OS=Homo sapiens OX=9606 GN=COG7 PE=1 SV=1
O55055	O55055	CRC-14FEF78C0D2F8BFB	query	sp|O55055|TRDMT_MOUSE tRNA (cytosine(38)-C(5))-methyltransferase OS=Mus musculus OX=10090 GN=Trdmt1 PE=1 SV=2
Q00322	Q00322	CRC-151F765946CDB275	query	sp|Q00322|CEBPD_MOUSE CCAAT/enhancer-binding protein delta OS=Mus musculus OX=10090 GN=Cebpd PE=1 SV=2
Q3UPW8	Q3UPW8	CRC-155DA78B9E77DF88	query	tr|Q3UPW8|Q3UPW8_MOUSE Secreted protein OS=Mus musculus OX=10090 GN=Mlxip PE=2 SV=1
Q64008	Q64008	CRC-158F5132F0DDE808	query	sp|Q64008|RAB34_MOUSE Ras-related protein Rab-34 OS=Mus musculus OX=10090 GN=Rab34 PE=1 SV=2
G5DGD4	G5DGD4	CRC-159FE70E5CD32ED5	query	tr|G5DGD4|G5DGD4_SOLLC Class I small heat shock protein OS=Solanum lycopersicum OX=4081 GN=Sl20.0shsp PE=3 SV=1
P10145	P10145	CRC-15C649996E89319F	query	sp|P10145|IL8_HUMAN Interleukin-8 OS=Homo sapiens OX=9606 GN=CXCL8 PE=1 SV=1
O95777	O95777	CRC-15D26E6B75AA2EE1	query	sp|O95777|LSM8_HUMAN U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=1 SV=3
Q32L40	Q32L40	CRC-161E9B04CFC5A1D7	query	sp|Q32L40|TCPA_BOVIN T-complex protein 1 subunit alpha OS=Bos taurus OX=9913 GN=TCP1 PE=1 SV=1
P01139	P01139	CRC-164465E1DC550081	query	sp|P01139|NGF_MOUSE Beta-nerve growth factor OS=Mus musculus OX=10090 GN=Ngf PE=1 SV=2
